Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface
l3leaf,borderleaf1-CAS,Ethernet1,mlag_peer,borderleaf2-CAS,Ethernet1
l3leaf,borderleaf1-CAS,Ethernet2,mlag_peer,borderleaf2-CAS,Ethernet2
l3leaf,borderleaf1-CAS,Ethernet3,spine,spine1-CAS,Ethernet5
l3leaf,borderleaf1-CAS,Ethernet4,spine,spine2-CAS,Ethernet5
l3leaf,borderleaf1-CAS,Ethernet5,l3leaf,borderleaf1-OI,Ethernet5
l3leaf,borderleaf1-CAS,Ethernet6,server,FW_CLIENTE,Eth0
l3leaf,borderleaf1-OI,Ethernet1,mlag_peer,borderleaf2-OI,Ethernet1
l3leaf,borderleaf1-OI,Ethernet2,mlag_peer,borderleaf2-OI,Ethernet2
l3leaf,borderleaf1-OI,Ethernet3,spine,spine1-OI,Ethernet5
l3leaf,borderleaf1-OI,Ethernet4,spine,spine2-OI,Ethernet5
l3leaf,borderleaf1-OI,Ethernet5,l3leaf,borderleaf1-CAS,Ethernet5
l3leaf,borderleaf1-OI,Ethernet6,server,FW_CLIENTE,Eth0
l3leaf,borderleaf2-CAS,Ethernet1,mlag_peer,borderleaf1-CAS,Ethernet1
l3leaf,borderleaf2-CAS,Ethernet2,mlag_peer,borderleaf1-CAS,Ethernet2
l3leaf,borderleaf2-CAS,Ethernet3,spine,spine1-CAS,Ethernet6
l3leaf,borderleaf2-CAS,Ethernet4,spine,spine2-CAS,Ethernet6
l3leaf,borderleaf2-CAS,Ethernet5,l3leaf,borderleaf2-OI,Ethernet5
l3leaf,borderleaf2-CAS,Ethernet6,server,FW_INTERNO,Eth1
l3leaf,borderleaf2-OI,Ethernet1,mlag_peer,borderleaf1-OI,Ethernet1
l3leaf,borderleaf2-OI,Ethernet2,mlag_peer,borderleaf1-OI,Ethernet2
l3leaf,borderleaf2-OI,Ethernet3,spine,spine1-OI,Ethernet6
l3leaf,borderleaf2-OI,Ethernet4,spine,spine2-OI,Ethernet6
l3leaf,borderleaf2-OI,Ethernet5,l3leaf,borderleaf2-CAS,Ethernet5
l3leaf,borderleaf2-OI,Ethernet6,server,FW_INTERNO,Eth1
l3leaf,leaf1-CAS,Ethernet1,mlag_peer,leaf2-CAS,Ethernet1
